,datetime,text,user,location
126,2020-06-21 00:07:20,"@AnonymouseWDW They do have them on https://t.co/5cgOFRSndY. I believe there is a waitlist until July, though. Not… https://t.co/b5GZORZpNT",lilmissdsnyfan,"Winter Garden, FL"
127,2020-06-21 00:03:13,I’m about to buy everything https://t.co/o0CWeA45dZ,im_Vance,United States
128,2020-06-20 23:55:14,Need it https://t.co/cq9GCwwSRG,NaturaleMystix,910⚓️336
129,2020-06-20 23:50:47,#WeekendRewind: It's not a dream! The newest additions to shopDisney's sleepwear collection are available now:… https://t.co/GqIZpuCEpp,laughing_place,"Orlando, FL"
130,2020-06-20 23:14:21,"Hey #Disney fam, has anyone ordered the Disney masks? @shopDisney #disneyparks #disneyland",AndreaCupcake,Sleeping Beauty’s Castle 🏰
131,2020-06-20 23:13:47,@shopDisney Nice.,StevenRody,Long Island
132,2020-06-20 23:11:34,@Hermesparcels @shopDisney there was also no note pushed through my letter box. Appalling service. I fully expect t… https://t.co/WNhevBTdcR,__cjlx,"North West, England"
133,2020-06-20 23:09:31,Absolutely disgusted at the service I have received from @shopDisney and @Hermesparcels. Come home to find my parce… https://t.co/p0N58NmIm9,__cjlx,"North West, England"
134,2020-06-20 23:04:46,WAIT I NEED THIS https://t.co/NOPSrPO4vD,countrybearsam,disney
135,2020-06-20 22:49:02,"U want thingamabobs? I got 20, but who cares no big deal #myinnerchildlovesAriel🧜🏽‍♀️ https://t.co/ofPUZCLfRI",SlimmTrice,anonymous 
136,2020-06-20 22:07:10,@shopDisney why is it saying my order number doesn’t exist https://t.co/ryP3QodOG9,Laurajayne94x,
137,2020-06-20 21:53:48,Oh and it didn't help anything to find out the face masks I bought from @shopDisney were too small. I can't return… https://t.co/yJTu7UjteF,milady_kay,
138,2020-06-20 21:44:47,"DisneyShop Bot, Setup example section added,
URL: https://t.co/sYCoRfnaGk
Keywords Separator: comma(,)
Keywords Ope… https://t.co/KUSDRGHOZA",MostAdvancedBot,United States
